seq;timestamp;data
29;1747216884.808379;-29656.744141 -2314.087646 -18814.691406 -10946.875000 -15276.803711 -13085.357422 -10807.129883 -12394.016602 -11555.259766 -10899.569336 -11729.527344 -11767.347656 -9744.597656 -10598.213867 -1161.111572 -9966.473633 6866.654785 -6060.120117 2789.749756 450.120850 -2927.164551 -557.622925 -1771.017822 -2578.365479 -4062.092773 -4121.278809 -5903.625977 -9127.367188 -12352.450195 -20305.382812
30;1747216885.003068;-0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000001 0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000
31;1747216885.199296;9767.955078 -8879.469727 -5789.539062 -9861.936523 -8170.862793 -10953.722656 -6885.359375 -7865.767090 -9231.940430 -8801.850586 -7966.064941 -5507.105957 -3436.356934 1402.880737 3603.072754 -19514.296875 736.683777 -9457.962891 -1656.514771 -1703.055664 17.567097 -914.696899 -4157.620117 -3922.327393 -5951.986816 -6587.104492 -6807.348633 -8106.021973 -7302.207031 -5706.568359
32;1747216885.388327;-24367.843750 -39342.937500 -33689.546875 -34150.324219 -30918.562500 -29711.607422 -32762.832031 -27831.740234 -30217.644531 -32751.257812 -30200.167969 -24019.244141 -9058.189453 241.168304 17716.359375 759.728821 7848.324219 -1310.446411 -5520.760742 -3073.423096 -9317.003906 -7149.698730 -5869.441406 -16489.734375 -12416.191406 -16503.630859 -21645.876953 -35005.941406 -28241.164062 -21785.878906
33;1747216885.586841;-28726.433594 21951.451172 -43073.304688 -49288.140625 -50706.003906 -42640.984375 -67415.351562 -64291.691406 -47859.527344 -41290.808594 -28189.335938 -26460.863281 8348.272461 13685.861328 17091.878906 -3444.548828 -6417.152344 8802.799805 -77508.179688 -2366.030029 -5777.167969 -10546.395508 -13228.028320 -10284.797852 -28065.558594 -42238.929688 -35272.222656 -38868.214844 -20877.996094 -11097.503906
34;1747216885.774541;-1074.681274 -2542.585205 -1372.208374 -1571.282227 -2233.964844 -452.938141 -774.149414 -1000.970642 -173.545670 -103.915115 26.840693 29.919235 54.770313 -70.704285 92.004532 96.556412 820.560303 440.245636 -1789.713379 95.908195 504.010986 -641.848206 -1240.759399 -721.968384 -522.223938 -159.644073 -219.424973 -181.860794 -48.364998 -7.188372
35;1747216885.958639;-168528.531250 -33914.562500 -26960.072266 -31000.070312 -34216.527344 -28278.398438 -29540.603516 -22217.814453 -23050.214844 -12827.981445 -10129.878906 -1687.288818 3403.860107 4216.404785 5994.889648 -20365.785156 -10993.441406 768.145386 -4693.722656 -7568.286621 -12617.481445 -6721.171875 -17390.556641 -24445.023438 -17312.792969 -19726.718750 -18183.410156 -12356.963867 -8735.860352 -4391.732910
36;1747216886.153833;10.163543 542.419434 613.958008 126.206909 10.144394 98.444809 179.987839 3.837512 123.881058 24.246609 52.485893 51.026241 0.141436 12.458355 -16.411386 -335.114319 2442.707275 -99.481140 -189.826355 -81.959557 118.747505 -164.649063 74.167992 -69.415054 68.257759 -52.431641 -22.831732 30.956919 -25.179716 -17.499580
37;1747216886.338607;1710.838013 -31861.882812 -10949.687500 -17568.402344 -17507.339844 -18688.808594 -17041.539062 -17169.796875 -13372.124023 -11688.577148 -4958.104004 -1679.175781 1199.334351 2486.716553 3002.915039 -22025.757812 -3889.877686 -1284.755127 -5730.116211 -2987.157715 -3911.548096 -7290.935547 -8389.167969 -8670.692383 -14400.943359 -10821.516602 -8837.514648 -6833.305176 -3747.754150 -1992.786743
38;1747216886.520884;-1054.125610 -395.182159 1877.098999 -1422.350952 -482.787262 -558.107910 -590.477539 -387.605377 130.183685 417.135986 267.344543 49.906097 124.252121 16.057959 5.044288 -889.775696 -1612.305420 -4065.517578 -2146.096436 -1599.946655 -1789.338135 -1168.610107 -569.734070 -468.966125 -147.904083 -118.425049 -99.051971 -121.271980 -193.085037 -6.608841
