seq;timestamp;data
44;1745751630.291501;0.606925 0.378646 2.822113 0.499516 0.152320 0.090890 0.095287 0.050949 0.036339 0.029253 0.026902 0.021956 0.017729 0.017055 0.016876 0.045276 -0.854836 -2.274585 -0.196103 -0.406637 -0.187537 -0.195654 -0.114655 -0.095182 -0.076382 -0.051123 -0.034853 -0.023444 -0.015181 -0.008199
45;1745751630.475434;1.036831 0.468472 0.445430 0.439109 0.225644 0.072917 0.133410 0.071584 0.037430 0.037111 0.023645 0.020358 0.017747 0.017016 0.015840 -0.378804 0.214575 -0.641106 0.009616 -0.231630 -0.222562 -0.175397 -0.137800 -0.102118 -0.067771 -0.048586 -0.034986 -0.023478 -0.015290 -0.007743
46;1745751630.655539;0.218283 0.265955 0.326194 0.338311 0.227206 0.116786 0.082673 0.075758 0.041176 0.029412 0.024700 0.018564 0.018287 0.017007 0.016131 0.115630 -0.254308 -0.226514 -0.377242 -0.289967 -0.216561 -0.147931 -0.119813 -0.100165 -0.069891 -0.049519 -0.035680 -0.022952 -0.014425 -0.007951
47;1745751630.836398;-0.209248 0.362263 0.747985 0.309381 0.276620 0.110338 0.080075 0.050646 0.049773 0.038838 0.025346 0.019926 0.017702 0.016828 0.016185 0.943048 -0.248164 0.144874 -0.252049 -0.192355 -0.175301 -0.124263 -0.137755 -0.103215 -0.068878 -0.048284 -0.035135 -0.023252 -0.014800 -0.007797
48;1745751631.028968;0.087905 0.403005 0.267880 0.353126 0.205706 0.103342 0.072902 0.059929 0.047126 0.031416 0.026211 0.020966 0.018719 0.017091 0.016677 0.277078 0.128862 -0.202742 -0.277183 -0.216465 -0.152761 -0.126501 -0.167943 -0.100603 -0.067390 -0.047825 -0.034581 -0.023310 -0.014924 -0.007560
49;1745751631.214500;0.346051 0.376737 0.601241 0.421059 0.175187 0.143945 0.084989 0.076842 0.037274 0.024221 0.027060 0.019359 0.018104 0.017362 0.016178 0.535784 -0.121497 -0.018886 -0.338910 -0.159242 -0.170221 -0.160395 -0.150869 -0.092559 -0.070339 -0.051901 -0.034545 -0.024461 -0.015641 -0.008026
50;1745751631.402171;-0.970539 0.608003 0.511212 0.307821 0.228308 0.061470 0.073264 0.048412 0.044634 0.023787 0.023695 0.020658 0.017675 0.016707 0.015999 1.087952 -0.144558 0.093683 -0.104781 -0.150021 -0.202550 -0.153320 -0.118659 -0.090699 -0.077854 -0.048804 -0.033854 -0.023680 -0.015033 -0.007961
51;1745751631.581286;0.373930 0.334115 1.429507 0.188155 0.226932 0.084444 0.063001 0.069908 0.036535 0.026258 0.023781 0.021160 0.017478 0.016986 0.016079 0.122201 -0.370855 -0.772546 -0.134515 -0.221018 -0.195180 -0.150405 -0.126366 -0.099453 -0.071994 -0.050512 -0.036773 -0.024349 -0.015848 -0.008048
52;1745751631.760874;0.570660 0.352107 0.440541 0.358365 0.226652 0.085044 0.089040 0.051229 0.047159 0.023796 0.022826 0.019385 0.017760 0.017121 0.016144 0.207657 -0.058861 -0.096290 -0.213472 -0.231097 -0.242999 -0.171669 -0.120358 -0.109821 -0.070652 -0.049615 -0.035511 -0.022793 -0.014925 -0.008487
53;1745751631.961795;0.861232 0.407863 0.273603 0.480725 0.132598 0.135351 0.117458 0.062941 0.050816 0.032572 0.024593 0.019146 0.017648 0.016264 0.016201 -0.528260 0.009820 -0.471223 -0.066543 -0.276487 -0.114807 -0.179051 -0.129163 -0.087210 -0.072611 -0.049237 -0.035215 -0.023347 -0.015127 -0.008132
54;1745751632.147701;0.958326 0.428211 0.469386 0.277182 0.179889 0.165851 0.101374 0.070124 0.044613 0.030960 0.022983 0.019992 0.017023 0.017066 0.016402 0.549633 -0.241094 -0.249159 -0.181311 -0.210136 -0.214286 -0.134187 -0.131526 -0.101217 -0.072546 -0.052787 -0.033901 -0.024194 -0.014798 -0.007774
55;1745751632.326961;-0.016857 0.543867 0.530260 0.245917 0.185638 0.156469 0.058702 0.075744 0.042514 0.025009 0.022930 0.021066 0.018294 0.016897 0.016661 0.392748 -0.071695 -0.048901 -0.127039 -0.131320 -0.172684 -0.167055 -0.111769 -0.108345 -0.073822 -0.049206 -0.035843 -0.023472 -0.015041 -0.007968
56;1745751632.512132;0.676658 0.417241 0.572686 0.267169 0.143739 0.170822 0.067778 0.040978 0.038642 0.034104 0.021832 0.019395 0.016946 0.016565 0.016371 0.203364 -0.102030 0.030755 -0.150880 -0.231430 -0.175488 -0.144451 -0.130725 -0.122886 -0.077400 -0.049677 -0.034314 -0.023631 -0.015365 -0.008280
57;1745751632.698806;0.213721 0.383545 0.258630 0.225936 0.220906 0.126535 0.103669 0.052841 0.054418 0.030662 0.022402 0.020428 0.018611 0.016823 0.016538 0.119757 0.127314 -0.446735 -0.151074 -0.211842 -0.172121 -0.199901 -0.135084 -0.093441 -0.066886 -0.049803 -0.034503 -0.024693 -0.015037 -0.007823
58;1745751632.888423;0.156527 0.450308 0.882395 0.181104 0.116083 0.174581 0.096226 0.063184 0.047845 0.026172 0.021923 0.019030 0.017425 0.017100 0.016211 -0.741927 0.166392 0.606403 -0.221176 -0.259006 -0.232731 -0.146721 -0.134288 -0.107016 -0.080184 -0.048066 -0.033019 -0.024732 -0.015255 -0.007606
